timestamps,ax,ay,az
1525745830863575.0,2.8052186703590287e-05,-2.8771130860888e-05,-4.516614762503249e-05
1525745830869559.0,2.7647649664622264e-05,-2.7912069304769985e-05,-4.621468271680578e-05
1525745830874655.0,2.7271115596243434e-05,-2.7174738852450095e-05,-4.709154355030931e-05
1525745830879855.0,2.6864297176708276e-05,-2.642465273160868e-05,-4.798355135912394e-05
1525745830885397.0,2.6401787061230978e-05,-2.5623974722908413e-05,-4.8924299890558046e-05
1525745830891130.0,2.5894620500312e-05,-2.4797411459389987e-05,-4.9891766026630475e-05
1525745830896867.0,2.5356366403681805e-05,-2.3970806604753116e-05,-5.085133492299521e-05
1525745830902192.2,2.4831103302462765e-05,-2.3206208967509974e-05,-5.173836197661026e-05
1525745830907368.0,2.4297366682593097e-05,-2.2465622184236518e-05,-5.259736614120617e-05
1525745830913041.0,2.368417630141274e-05,-2.1654659059766288e-05,-5.3529935795292115e-05
1525745830918635.0,2.3056157037456265e-05,-2.0860923718656947e-05,-5.445257465501579e-05
1525745830924247.0,2.2398118530983963e-05,-2.0065998700107004e-05,-5.536932993732581e-05
1525745830929768.0,2.1729518600856403e-05,-1.929053931448841e-05,-5.6276534122585856e-05
1525745830935530.0,2.1004778873445477e-05,-1.8483577112493518e-05,-5.721569226419121e-05
1525745830942575.0,2.008758412647561e-05,-1.75055262071222e-05,-5.8368549469982854e-05
1525745830947315.0,1.9451879974494182e-05,-1.6852024438130353e-05,-5.914520297173365e-05
1525745830953139.0,1.8649697535400914e-05,-1.6054581899375875e-05,-6.010084397432613e-05
1525745830958969.0,1.782590279120731e-05,-1.5262834343981834e-05,-6.106122347335055e-05
1525745830964751.0,1.6988453568550808e-05,-1.448337835630917e-05,-6.201428325373223e-05
1525745830969973.0,1.621775177807074e-05,-1.3786203219258432e-05,-6.28833504398996e-05
1525745830975587.0,1.5370756465848163e-05,-1.3040897446018664e-05,-6.381194721770819e-05
1525745830981235.0,1.4505183460472013e-05,-1.22994962921603e-05,-6.47585446119496e-05
1525745830986924.0,1.361681324076795e-05,-1.1558026483126984e-05,-6.57074622576797e-05
1525745830992616.0,1.2716190235882024e-05,-1.0824771756302163e-05,-6.666881532003998e-05
1525745830998217.0,1.181687897561867e-05,-1.0109521258136958e-05,-6.761307235466854e-05
1525745831003931.0,1.0888369149093263e-05,-9.387502664648232e-06,-6.857964508233952e-05
1525745831009511.0,9.972680626479187e-06,-8.690677472020187e-06,-6.953118217545533e-05
1525745831015257.0,9.020245650838941e-06,-7.980694664953103e-06,-7.050862344814426e-05
1525745831020995.0,8.062152348343791e-06,-7.280906265068882e-06,-7.149267925903141e-05
1525745831026770.0,7.090545040354613e-06,-6.5848575191061595e-06,-7.247748747263855e-05
1525745831032321.0,6.152031801893481e-06,-5.925087199463589e-06,-7.342994104158249e-05
1525745831037589.0,5.257234605653647e-06,-5.3067790013961185e-06,-7.432860473546893e-05
1525745831043417.0,4.26450589348893e-06,-4.63266056268488e-06,-7.532575551988832e-05
1525745831048995.0,3.3119093946225756e-06,-3.996895745329776e-06,-7.627208144622985e-05
1525745831054174.0,2.4266346686977126e-06,-3.415704033165993e-06,-7.715205277851444e-05
1525745831060082.0,1.4162399251307901e-06,-2.7630857945331134e-06,-7.814644557712012e-05
1525745831066109.0,3.8609682565228363e-07,-2.109106564730602e-06,-7.91465872998668e-05
1525745831071699.0,-5.678965037536283e-07,-1.5139732931300937e-06,-8.00732728195023e-05
1525745831077330.0,-1.5266248810405808e-06,-9.253492452275816e-07,-8.098354549281197e-05
1525745831083219.0,-2.526469806119376e-06,-3.219576384019809e-07,-8.193296781690721e-05
1525745831088861.0,-3.480297467407872e-06,2.4417122802816713e-07,-8.281243558277482e-05
1525745831094561.0,-4.439864086021067e-06,8.039590986734174e-07,-8.368845512620914e-05
1525745831100281.0,-5.3979717464326556e-06,1.3533102558787034e-06,-8.45463632898874e-05
1525745831106042.0,-6.357423210981457e-06,1.8938908362349633e-06,-8.53843401999664e-05
1525745831111859.0,-7.320450102396524e-06,2.4267818850958905e-06,-8.62053688784927e-05
1525745831117703.0,-8.28117204838153e-06,2.948815351777336e-06,-8.699544385784397e-05
1525745831123406.0,-9.212716684250121e-06,3.44568560952668e-06,-8.773913875478791e-05
1525745831129226.0,-1.0155782421154898e-05,3.9395187173709625e-06,-8.84557983589607e-05
1525745831135101.0,-1.1101207108406592e-05,4.4251426058694095e-06,-8.914575228433204e-05
1525745831140643.0,-1.1985567175264533e-05,4.870986917564088e-06,-8.975198317428511e-05
1525745831147054.0,-1.3000907855427549e-05,5.372965576011512e-06,-9.040738836019127e-05
1525745831151310.0,-1.3669665344710075e-05,5.69751750154513e-06,-9.08082925650011e-05
1525745831156767.0,-1.4522435817479406e-05,6.104994149608262e-06,-9.128972935513029e-05
1525745831162318.0,-1.5382581918243162e-05,6.508715612134785e-06,-9.172671911477993e-05
1525745831169654.0,-1.6509259336892754e-05,7.026869288494847e-06,-9.222649843516096e-05
1525745831175701.0,-1.7431265423368603e-05,7.441825285372973e-06,-9.257620110185766e-05
1525745831181170.0,-1.8257079414629015e-05,7.80720420545708e-06,-9.282543720135279e-05
1525745831186603.0,-1.9074512966520166e-05,8.163161015253474e-06,-9.30303554811765e-05
1525745831192371.0,-1.9934364929639224e-05,8.531784947552942e-06,-9.317319230872344e-05
1525745831197903.0,-2.0754424734621268e-05,8.878232038848604e-06,-9.325030941548155e-05
1525745831203328.0,-2.1554913094815355e-05,9.211965617943381e-06,-9.326811760788998e-05
1525745831208873.0,-2.2368075965733615e-05,9.546857923440414e-06,-9.321812584131687e-05
1525745831214740.0,-2.3225102437644378e-05,9.89582940779508e-06,-9.309533733970988e-05
1525745831220456.0,-2.4054992641203732e-05,1.0230379047757678e-05,-9.289662550360072e-05
1525745831226059.0,-2.486703588125134e-05,1.0555114225528722e-05,-9.263599771355335e-05
1525745831231701.0,-2.5679055674177094e-05,1.0877672513781413e-05,-9.228856132534429e-05
1525745831237165.0,-2.6465562474965975e-05,1.1188705337528261e-05,-9.188863930924741e-05
1525745831243993.0,-2.744209138544735e-05,1.1573594613829651e-05,-9.12751369144848e-05
1525745831249548.0,-2.8235789711015893e-05,1.1886152227463376e-05,-9.069411463456353e-05
1525745831255540.0,-2.9091560417068183e-05,1.2223577806757191e-05,-8.998511231946171e-05
1525745831261119.0,-2.98822006100446e-05,1.2536191278708608e-05,-8.922648251303207e-05
1525745831266618.0,-3.066502917202733e-05,1.2847334385540457e-05,-8.841325862619416e-05
1525745831272284.0,-3.1464947665455564e-05,1.316727016180366e-05,-8.747629767201914e-05
1525745831277798.0,-3.224728866464906e-05,1.348286838515905e-05,-8.649636991037213e-05
1525745831283354.0,-3.30286581326594e-05,1.380111727710307e-05,-8.541063979308674e-05
1525745831289138.0,-3.384334382054545e-05,1.413687586749072e-05,-8.419769202756422e-05
1525745831294577.0,-3.4607989521537005e-05,1.4456046731923525e-05,-8.297481044041166e-05
1525745831300077.0,-3.537915528519599e-05,1.4782437006791743e-05,-8.16545304307063e-05
1525745831305690.0,-3.61643084816414e-05,1.51198813008947e-05,-8.022123736583299e-05
1525745831311130.0,-3.692263161110885e-05,1.5451106733326795e-05,-7.874907139849608e-05
1525745831316862.0,-3.772183473765888e-05,1.580634823412698e-05,-7.711491200285795e-05
1525745831322391.0,-3.8483468192852974e-05,1.6151377715184473e-05,-7.544141844431755e-05
1525745831327817.0,-3.923348488549928e-05,1.649738873221207e-05,-7.373022338050298e-05
1525745831333466.0,-4.000290369560847e-05,1.6859920059971456e-05,-7.184969622919137e-05
1525745831339159.0,-4.0779349359974215e-05,1.7233320317621104e-05,-6.987860898289966e-05
1525745831344575.0,-4.1506172262909936e-05,1.75908397348303e-05,-6.79130131467321e-05
1525745831349978.0,-4.222760100493059e-05,1.795338393756412e-05,-6.587913440468539e-05
1525745831355670.0,-4.297975142772832e-05,1.834031778940277e-05,-6.365304572832179e-05
1525745831361259.0,-4.370897909241996e-05,1.8724777138419984e-05,-6.138508071002981e-05
1525745831366811.0,-4.4423669958549905e-05,1.911109476978031e-05,-5.905347031498175e-05
1525745831372321.0,-4.512150883438248e-05,1.9498195647629213e-05,-5.6662356100606014e-05
1525745831377777.0,-4.580451021231627e-05,1.9886696027138186e-05,-5.422564626635845e-05
1525745831383340.0,-4.647918039941382e-05,2.0282434912818578e-05,-5.1657214739315946e-05
1525745831388770.0,-4.713052158026703e-05,2.0674542011319106e-05,-4.908752693980831e-05
1525745831394304.0,-4.777009905063612e-05,2.107266080180568e-05,-4.639063791876197e-05
1525745831399749.0,-4.838910893727327e-05,2.146901078092215e-05,-4.367686251711304e-05
1525745831405157.0,-4.8977378977249365e-05,2.1859948559512518e-05,-4.091048623244758e-05
1525745831410639.0,-4.9557366026451756e-05,2.2258173707078933e-05,-3.804716059991513e-05
1525745831415949.0,-5.009592806353834e-05,2.2642453434116563e-05,-3.521355362063803e-05
1525745831421366.0,-5.062389098170019e-05,2.3033847101533245e-05,-3.2267209717797044e-05
1525745831426850.0,-5.1129677449784676e-05,2.34264020378227e-05,-2.9226072731863773e-05
1525745831432667.0,-5.163825460590922e-05,2.3840289309086266e-05,-2.5942615943299288e-05
1525745831438089.0,-5.208293832624953e-05,2.4222217087306183e-05,-2.2829568735439082e-05
1525745831443493.0,-5.249006491368096e-05,2.4595313487826444e-05,-1.9677135147625433e-05
1525745831448979.0,-5.287624681369501e-05,2.497076429113038e-05,-1.643343693054109e-05
1525745831454369.0,-5.3215599702481465e-05,2.5329943470079962e-05,-1.3202807111907834e-05
1525745831459795.0,-5.352639771542971e-05,2.568604120339363e-05,-9.912929341637633e-06
1525745831465347.0,-5.380025384488749e-05,2.6038706927342586e-05,-6.508660581179913e-06
1525745831470715.0,-5.40304176248855e-05,2.6372002441593478e-05,-3.1853282278489416e-06
1525745831476333.0,-5.4222808085665335e-05,2.670661702457834e-05,3.237334881060765e-07
1525745831481693.0,-5.436872365128417e-05,2.7016224856096657e-05,3.6971754049767646e-06
1525745831487166.0,-5.4467361961566045e-05,2.7316192333323666e-05,7.163513247849754e-06
1525745831492667.0,-5.45252163301124e-05,2.7605835978180673e-05,1.0666903124557095e-05
1525745831498364.0,-5.452760726374573e-05,2.7885853768259783e-05,1.4309391538890565e-05
1525745831503751.0,-5.448655340770692e-05,2.8136819154505254e-05,1.7765408896591167e-05
1525745831509364.0,-5.438673041886077e-05,2.8377301847478608e-05,2.137146453372662e-05
1525745831514950.0,-5.423267316467149e-05,2.859630717859073e-05,2.496157709820727e-05
1525745831520727.0,-5.40189096867286e-05,2.8802463956780522e-05,2.8673401136256686e-05
1525745831526141.0,-5.3759768247178524e-05,2.8971697028146547e-05,3.2142484817178555e-05
1525745831531537.0,-5.345159263500647e-05,2.9120297750330636e-05,3.5590963421673415e-05
1525745831536954.0,-5.308435183440664e-05,2.924446979961996e-05,3.903491103328812e-05
1525745831542638.0,-5.2643751673626484e-05,2.9351006345461124e-05,4.263024790908673e-05
1525745831548177.0,-5.2149292952548984e-05,2.9424687732203277e-05,4.610298442441493e-05
1525745831553549.0,-5.1619516012136024e-05,2.9473215004217616e-05,4.944712262896361e-05
1525745831558999.0,-5.101830506346263e-05,2.9491114889036e-05,5.2799620000594776e-05
1525745831564405.0,-5.037158985317041e-05,2.948435920029127e-05,5.60937045263853e-05
1525745831569989.0,-4.9636973217855626e-05,2.9442769124862286e-05,5.944421545997174e-05
1525745831575631.0,-4.8834659967055323e-05,2.936905020151032e-05,6.278005405762896e-05
1525745831581111.0,-4.799776302207622e-05,2.9266086840095062e-05,6.596828265846467e-05
1525745831586541.0,-4.7109401838735984e-05,2.9130701660945763e-05,6.90680144471614e-05
1525745831591913.0,-4.6175730760555384e-05,2.896497800433273e-05,7.207600962214209e-05
1525745831597332.0,-4.517707044131358e-05,2.8763730251164438e-05,7.504382307218188e-05
1525745831602711.0,-4.4134418232237614e-05,2.8532294871572215e-05,7.792723080212298e-05
1525745831608115.0,-4.302447032863863e-05,2.8259801824641665e-05,8.073656887549586e-05
1525745831613516.0,-4.186804635813864e-05,2.795630498099578e-05,8.347888806049483e-05
1525745831619011.0,-4.063108565221936e-05,2.760632186085524e-05,8.617218841528614e-05
1525745831624513.0,-3.934457630451367e-05,2.722177570205715e-05,8.87917108916797e-05
1525745831630033.0,-3.7995402255416264e-05,2.6793307784533e-05,9.131278911958475e-05
1525745831635733.0,-3.655158230178275e-05,2.6312078158728643e-05,9.38205037178225e-05
1525745831641273.0,-3.5095879185367326e-05,2.5802937834618047e-05,9.615001352814819e-05
1525745831646705.0,-3.3621840860893544e-05,2.5265140036635743e-05,9.833191330177311e-05
1525745831652235.0,-3.207354525266778e-05,2.4676851384113358e-05,0.00010044033021248577
1525745831657655.0,-3.0513124368595372e-05,2.4061668691990142e-05,0.00010239903307949381
1525745831663106.0,-2.8902147187657152e-05,2.340398017869054e-05,0.00010425690891902495
1525745831668503.0,-2.7264488810609585e-05,2.271145602257751e-05,0.00010596970218995194
1525745831673959.0,-2.5573857618854684e-05,2.1974643962990154e-05,0.00010759346320336248
1525745831682277.0,-2.2923675865572903e-05,2.0772508907167018e-05,0.00010981593659990557
1525745831687721.0,-2.1148634587861054e-05,1.9937826416929863e-05,0.00011111840052394962
1525745831693115.0,-1.935883693721496e-05,1.9072007622574663e-05,0.00011227867473056044
1525745831698516.0,-1.753781186509151e-05,1.8166408080714974e-05,0.00011330565394018033
1525745831703918.0,-1.569207504873079e-05,1.722475039338548e-05,0.00011421121676881196
1525745831709331.0,-1.381803111299721e-05,1.6243032950951965e-05,0.0001149780147956851
1525745831714724.0,-1.1930736019031491e-05,1.5229706026928303e-05,0.00011561576386324503
1525745831720376.0,-9.932265578107099e-06,1.4128638265647895e-05,0.00011613352444922153
1525745831725827.0,-7.989051336408785e-06,1.3031789758335156e-05,0.00011650288611808566
1525745831731228.0,-6.0491046188885094e-06,1.1909178847909585e-05,0.00011671860884821431
1525745831736906.0,-3.9985970038155965e-06,1.0694421607095784e-05,0.00011681237853869195
1525745831742293.0,-2.0441979611133067e-06,9.507796579827688e-06,0.00011674923076268872
1525745831747677.0,-8.545169658225487e-08,8.291973621018383e-06,0.00011656684229509676
1525745831753251.0,1.9458011186590197e-06,7.000210766289729e-06,0.00011622023622502313
1525745831758696.0,3.930473903038084e-06,5.708853170771065e-06,0.00011574882992578783
1525745831764207.0,5.937099892668822e-06,4.372914420268605e-06,0.0001151361922493612
1525745831769633.0,7.907824229607415e-06,3.0303315643048312e-06,0.00011439692064812031
1525745831775080.0,9.87877561880477e-06,1.6566443806620276e-06,0.00011352363117803824
1525745831780546.0,1.184631350390564e-05,2.533308266671925e-07,0.00011251499690870758
1525745831786227.0,1.3878549322135366e-05,-1.230251157260389e-06,0.00011133771273848258
1525745831791965.0,1.591157179151063e-05,-2.7526174178146743e-06,0.00010999036907835559
1525745831797322.0,1.7794082256508773e-05,-4.194355611061108e-06,0.00010862796792072831
1525745831802539.0,1.9604770546994528e-05,-5.6154586071545845e-06,0.00010716927518196016
1525745831807922.0,2.1453607294713774e-05,-7.099251029890563e-06,0.00010556773092556684
1525745831813302.0,2.3272953452174048e-05,-8.596481750791081e-06,0.00010383971370756178
1525745831818881.0,2.513249461470257e-05,-1.0164255715107585e-05,0.0001019433415699794
1525745831824218.0,2.6879957508297064e-05,-1.167600048581335e-05,0.00010001906220781116
1525745831829949.0,2.872197379435031e-05,-1.3311148003271143e-05,9.78461462224659e-05
1525745831835373.0,3.0427431879354607e-05,-1.4867483691578354e-05,9.568302028996734e-05
1525745831840925.0,3.213515789529802e-05,-1.646853465392245e-05,9.337443603491123e-05
1525745831846348.0,3.376287275599112e-05,-1.8038177027980154e-05,9.10279504565424e-05
1525745831851900.0,3.5381998079405255e-05,-1.964702411102492e-05,8.852719622328868e-05
1525745831857314.0,3.691953501421946e-05,-2.1219831326610474e-05,8.601477583962896e-05
1525745831862964.0,3.847022450418509e-05,-2.2858648795462254e-05,8.330045083960297e-05
1525745831868495.0,3.994082211963018e-05,-2.446332560036058e-05,8.057466034129829e-05
1525745831874080.0,4.13673093572277e-05,-2.6076662018181362e-05,7.774023305754583e-05
1525745831879764.0,4.276630040557547e-05,-2.7715273509869668e-05,7.479456216572732e-05
1525745831885373.0,4.4082318065413196e-05,-2.932032980856625e-05,7.18142108424857e-05
1525745831890712.0,4.528210165294943e-05,-3.084077108907652e-05,6.892865305263793e-05
1525745831896062.0,4.642497032482241e-05,-3.235106064365867e-05,6.598392765050693e-05
1525745831901423.0,4.751504206206879e-05,-3.385336016609259e-05,6.299297760795091e-05
1525745831906773.0,4.8539177911926325e-05,-3.533452552869756e-05,5.9962335514994286e-05
1525745831912457.0,4.956456943472452e-05,-3.689243847715764e-05,5.670834704034557e-05
1525745831917822.0,5.0465561225019364e-05,-3.8341382975698115e-05,5.360120200614808e-05
1525745831923294.0,5.131745141411427e-05,-3.979626680412311e-05,5.040272465003212e-05
1525745831928811.0,5.2111677223389796e-05,-4.124145904102431e-05,4.715710412279294e-05
1525745831934313.0,5.283140987716415e-05,-4.265363700509098e-05,4.389780438870859e-05
1525745831939914.0,5.349581648496876e-05,-4.4064675965819584e-05,4.0567221018107265e-05
1525745831945347.0,5.406751451931111e-05,-4.5400429841330375e-05,3.732376869282709e-05
1525745831950740.0,5.4571988732873254e-05,-4.669928069458875e-05,3.410181283134702e-05
1525745831956194.0,5.50057604381925e-05,-4.7973069105429735e-05,3.083737704373672e-05
1525745831961569.0,5.537231872405645e-05,-4.919973137026857e-05,2.762682573005329e-05
1525745831967046.0,5.5667672173634665e-05,-5.0404579775043466e-05,2.4357969094099307e-05
1525745831972478.0,5.5899409436005995e-05,-5.156744990007317e-05,2.1130276301268136e-05
1525745831978183.0,5.60594960671248e-05,-5.2736162499861445e-05,1.775316193546173e-05
1525745831983691.0,5.61455240950309e-05,-5.3822073709561554e-05,1.4513318800410612e-05
1525745831989029.0,5.6163479525659595e-05,-5.4831405358567084e-05,1.1395674499362056e-05
1525745831994422.0,5.6114852305696565e-05,-5.5804601961439255e-05,8.27170183237173e-06
1525745831999900.0,5.5997882007437775e-05,-5.6743863364369175e-05,5.129055034060167e-06
1525745832005287.0,5.5818102423414984e-05,-5.761803749775432e-05,2.072153106266934e-06
1525745832010689.0,5.557734901959055e-05,-5.844679880521076e-05,-9.56700283836988e-07
1525745832016386.0,5.524857180375476e-05,-5.9255916957551794e-05,-4.107565280872488e-06
1525745832021907.0,5.487275910963289e-05,-5.999072553696302e-05,-7.115098753442342e-06
1525745832027272.0,5.4439361841911975e-05,-6.063963987709756e-05,-9.989197872205078e-06
1525745832032724.0,5.39483510060375e-05,-6.125023709473174e-05,-1.2860662480142645e-05
1525745832038175.0,5.339288661999829e-05,-6.179298386358981e-05,-1.5675396676794204e-05
1525745832043715.0,5.277650600773229e-05,-6.22879922974579e-05,-1.847847664159118e-05
1525745832049106.0,5.212114881393483e-05,-6.270524862783573e-05,-2.114503091419878e-05
1525745832054507.0,5.141709231978988e-05,-6.30648760191411e-05,-2.3755273794151158e-05
1525745832059890.0,5.066396477580441e-05,-6.335659604584543e-05,-2.629036598086929e-05
1525745832065280.0,4.986781241266359e-05,-6.358991709824896e-05,-2.8763028944853417e-05
1525745832070609.0,4.9035265525826634e-05,-6.375414036800333e-05,-3.1137322118902085e-05
1525745832075940.0,4.816068570108431e-05,-6.385284884426372e-05,-3.344021598697438e-05
1525745832081259.0,4.7252943783055465e-05,-6.389085027541121e-05,-3.5666541919809144e-05
1525745832086799.8,4.626737828440481e-05,-6.38583969842732e-05,-3.790322349394481e-05
1525745832092157.0,4.5282239726867654e-05,-6.376227996798624e-05,-3.998723701404343e-05
1525745832097491.0,4.426938562122861e-05,-6.359858271091786e-05,-4.198053231576801e-05
1525745832102812.0,4.323542142969039e-05,-6.337561184733054e-05,-4.389136894715416e-05
1525745832108181.0,4.215868461245372e-05,-6.307155792183532e-05,-4.572556079564061e-05
1525745832113513.0,4.107313547969003e-05,-6.271240628915012e-05,-4.7467682981971825e-05
1525745832118911.0,3.99476219249153e-05,-6.227169498710878e-05,-4.9135249129673864e-05
1525745832124503.0,3.876879292681585e-05,-6.175264251816248e-05,-5.077412283534615e-05
1525745832129953.0,3.7598867283518475e-05,-6.11674865786048e-05,-5.2267995935565205e-05
1525745832135305.0,3.644133182374263e-05,-6.053113716695807e-05,-5.364625328548958e-05
1525745832140709.0,3.526114533948033e-05,-5.9818344540097945e-05,-5.4940397230477514e-05
1525745832146400.0,3.401269471225674e-05,-5.8998508236765675e-05,-5.620229037316796e-05
1525745832151844.0,3.2812353034266687e-05,-5.814193743136424e-05,-5.7305283885706935e-05
1525745832157327.0,3.160376586504483e-05,-5.721508050739174e-05,-5.831909245717379e-05
1525745832163150.0,3.032137373309224e-05,-5.6157739210363295e-05,-5.928552978328126e-05
